p,q,L,priority_percentage,sd,avg total infected
0.01,0,25,0,3,1.84
0.01,0.3,25,0,3,1.22
0.01,0.7,25,0,3,0.92
0.3,0,25,0,3,81.86
0.3,0.3,25,0,3,68.74
0.3,0.7,25,0,3,40.9
0.5,0,25,0,3,81.6
0.5,0.3,25,0,3,72.4
0.5,0.7,25,0,3,65.74
0.01,0,25,0,5,1.9
0.01,0.3,25,0,5,1.34
0.01,0.7,25,0,5,0.98
0.3,0,25,0,5,87.74
0.3,0.3,25,0,5,72.36
0.3,0.7,25,0,5,47.78
0.5,0,25,0,5,85.8
0.5,0.3,25,0,5,84.98
0.5,0.7,25,0,5,65.46
0.01,0,25,0,8,3.64
0.01,0.3,25,0,8,1.56
0.01,0.7,25,0,8,1.08
0.3,0,25,0,8,85.52
0.3,0.3,25,0,8,76.62
0.3,0.7,25,0,8,47.22
0.5,0,25,0,8,90.42
0.5,0.3,25,0,8,87.72
0.5,0.7,25,0,8,73.74
0.01,0,25,0.3,3,1.5
0.01,0.3,25,0.3,3,1.1
0.01,0.7,25,0.3,3,1
0.3,0,25,0.3,3,74.48
0.3,0.3,25,0.3,3,68.52
0.3,0.7,25,0.3,3,33.5
0.5,0,25,0.3,3,82.9
0.5,0.3,25,0.3,3,79.76
0.5,0.7,25,0.3,3,56.1
0.01,0,25,0.3,5,1.98
0.01,0.3,25,0.3,5,1.36
0.01,0.7,25,0.3,5,0.86
0.3,0,25,0.3,5,81.66
0.3,0.3,25,0.3,5,70.46
0.3,0.7,25,0.3,5,43.96
0.5,0,25,0.3,5,80.42
0.5,0.3,25,0.3,5,77.16
0.5,0.7,25,0.3,5,59.96
0.01,0,25,0.3,8,3
0.01,0.3,25,0.3,8,1.46
0.01,0.7,25,0.3,8,1.14
0.3,0,25,0.3,8,79.08
0.3,0.3,25,0.3,8,70.8
0.3,0.7,25,0.3,8,55.18
0.5,0,25,0.3,8,77.02
0.5,0.3,25,0.3,8,80.82
0.5,0.7,25,0.3,8,59.94
0.01,0,25,0.7,3,1.36
0.01,0.3,25,0.7,3,1.06
0.01,0.7,25,0.7,3,1
0.3,0,25,0.7,3,89.56
0.3,0.3,25,0.7,3,75.1
0.3,0.7,25,0.7,3,43.84
0.5,0,25,0.7,3,93.72
0.5,0.3,25,0.7,3,86.8
0.5,0.7,25,0.7,3,66.78
0.01,0,25,0.7,5,1.56
0.01,0.3,25,0.7,5,1.02
0.01,0.7,25,0.7,5,0.96
0.3,0,25,0.7,5,84.92
0.3,0.3,25,0.7,5,67.16
0.3,0.7,25,0.7,5,26.66
0.5,0,25,0.7,5,83.28
0.5,0.3,25,0.7,5,80.04
0.5,0.7,25,0.7,5,44.44
0.01,0,25,0.7,8,1.7
0.01,0.3,25,0.7,8,1.34
0.01,0.7,25,0.7,8,0.98
0.3,0,25,0.7,8,80.36
0.3,0.3,25,0.7,8,71.58
0.3,0.7,25,0.7,8,45.62
0.5,0,25,0.7,8,79.9
0.5,0.3,25,0.7,8,74.38
0.5,0.7,25,0.7,8,64.14
0.01,0,25,1,3,0.96
0.01,0.3,25,1,3,0.92
0.01,0.7,25,1,3,0.88
0.3,0,25,1,3,24.98
0.3,0.3,25,1,3,17.44
0.3,0.7,25,1,3,10.08
0.5,0,25,1,3,23.84
0.5,0.3,25,1,3,22.58
0.5,0.7,25,1,3,15.22
0.01,0,25,1,5,0.9
0.01,0.3,25,1,5,0.98
0.01,0.7,25,1,5,0.96
0.3,0,25,1,5,14.68
0.3,0.3,25,1,5,12.52
0.3,0.7,25,1,5,8.8
0.5,0,25,1,5,16.9
0.5,0.3,25,1,5,16.54
0.5,0.7,25,1,5,13.68
0.01,0,25,1,8,0.94
0.01,0.3,25,1,8,0.88
0.01,0.7,25,1,8,0.82
0.3,0,25,1,8,16.38
0.3,0.3,25,1,8,10.32
0.3,0.7,25,1,8,8.46
0.5,0,25,1,8,16.88
0.5,0.3,25,1,8,18.04
0.5,0.7,25,1,8,13.26
